food_original,mapping_kind,mapped_tbca_name,tbca_code,tbca_record_name,tbca_record_exists,carbon_gco2e_per_100g,water_l_per_100g,ecological_points_per_100g,environmental_mapping_exists,occurrence_count,profiles,used_names_sharing_target,all_map_names_sharing_target,ambiguity_flags,selection_provenance
"Cenoura, s/ casca, cozida, drenada, s/ óleo, c/ sal",identity,"Cenoura, s/ casca, cozida, drenada, s/ óleo, c/ sal",BRC0913B,"Cenoura, s/ casca, cozida, drenada, s/ óleo, c/ sal",True,25.0,79.0,0.1,True,109,regular|vegan|vegetarian,1,1,none,identity_match
"Cenoura, s/ casca, crua",non_identity_unreviewed,"Cenoura, s/ casca, crua, Brasil",BRC0020B,"Cenoura, s/ casca, crua, Brasil",True,29.0,93.0,0.1,True,92,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Cenoura, s/ casca, refogada (c/ óleo, cebola e alho), c/ sal",identity,"Cenoura, s/ casca, refogada (c/ óleo, cebola e alho), c/ sal",BRC0335B,"Cenoura, s/ casca, refogada (c/ óleo, cebola e alho), c/ sal",True,40.0,86.0,0.1,True,1,vegetarian,1,1,none,identity_match
"Cereais, barra (média de diferentes sabores)",non_identity_unreviewed,"Cereais, barra (média de diferentes sabores), Brasil",BRC0082A,"Cereais, barra (média de diferentes sabores), Brasil",True,290.0,177.0,1.0,True,8,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Cereais, granola, caseira",identity,"Cereais, granola, caseira",BRC0396A,"Cereais, granola, caseira",True,241.0,694.0,1.3,True,68,regular|vegan|vegetarian,1,1,none,identity_match
"Cereal matinal, milho",non_identity_unreviewed,"Cereal matinal, milho, Brasil",BRC0100A,"Cereal matinal, milho, Brasil",True,290.0,177.0,1.0,True,25,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Chia, semente, seca",non_identity_unreviewed,"Chia, semente, seca (dado importado)",BRC0402A,"Chia, semente, seca (dado importado)",True,63.0,685.0,0.6,True,98,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Chicória, crua",non_identity_unreviewed,"Chicória, crua, Brasil",BRC0071B,"Chicória, crua, Brasil",True,39.0,48.0,0.2,True,16,regular|vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Chicória, refogada (c/ óleo, cebola e alho), c/ sal",identity,"Chicória, refogada (c/ óleo, cebola e alho), c/ sal",BRC0159B,"Chicória, refogada (c/ óleo, cebola e alho), c/ sal",True,52.0,55.0,0.3,True,9,vegan|vegetarian,1,1,none,identity_match
"Chuchu, s/ casca, cozido, drenado, s/ óleo, c/ sal",non_identity_unreviewed,"Chuchu, s/ casca, cozido, drenado, s/ óleo, c/ sal, Brasil",BRC0154B,"Chuchu, s/ casca, cozido, drenado, s/ óleo, c/ sal, Brasil",True,79.0,157.0,0.3,True,12,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Chuchu, s/ casca, refogado (c/ óleo, cebola e alho), c/ sal",identity,"Chuchu, s/ casca, refogado (c/ óleo, cebola e alho), c/ sal",BRC0058B,"Chuchu, s/ casca, refogado (c/ óleo, cebola e alho), c/ sal",True,79.0,161.0,0.3,True,36,regular|vegan|vegetarian,1,1,none,identity_match
"Coco, leite",non_identity_unreviewed,Arroz de leite,BRC0805A,Arroz de leite,True,73.0,207.0,1.1,True,14,vegan,1,3,many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Coco, polpa, in natura",non_identity_unreviewed,"Cacau, polpa,in natura, Brasil",BRC0071C,"Cacau, polpa,in natura, Brasil",True,1782.0,892.0,4.7,True,40,vegan,1,2,many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Coco, água",non_identity_unreviewed,"Bala, coco, caseira",BRC0218K,"Bala, coco, caseira",True,73.0,207.0,1.1,True,63,regular|vegan|vegetarian,1,2,many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Cogumelo, Paris, cozido, drenado, s/ óleo, c/ sal",non_identity_unreviewed,"Cogumelo, Paris, cozido, drenado, s/ óleo, c/ sal (dado importado)",BRC0701B,"Cogumelo, Paris, cozido, drenado, s/ óleo, c/ sal (dado importado)",True,61.0,81.0,0.1,True,4,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Couve, crua",non_identity_unreviewed,"Couve-flor, crua, Brasil",BRC0024B,"Couve-flor, crua, Brasil",True,49.0,112.0,0.2,True,32,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Couve, manteiga, refogada (c/ óleo, cebola e alho), c/ sal",identity,"Couve, manteiga, refogada (c/ óleo, cebola e alho), c/ sal",BRC0145B,"Couve, manteiga, refogada (c/ óleo, cebola e alho), c/ sal",True,62.0,117.0,0.2,True,123,regular|vegan|vegetarian,1,1,none,identity_match
"Couve-flor, cozida, drenada, s/ óleo, c/ sal",identity,"Couve-flor, cozida, drenada, s/ óleo, c/ sal",BRC0116B,"Couve-flor, cozida, drenada, s/ óleo, c/ sal",True,49.0,95.0,0.1,True,47,regular|vegan|vegetarian,1,1,none,identity_match
Cream cheese (média de diferentes sabores),non_identity_unreviewed,"Cream cheese, Brasil (média de diferentes sabores)",BRC0006G,"Cream cheese, Brasil (média de diferentes sabores)",True,893.0,486.0,5.4,True,39,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Cuscuz de milho, cozido, c/ sal",non_identity_unreviewed,"Cuscuz de milho, cozido, c/ manteiga, c/ sal",BRC1147A,"Cuscuz de milho, cozido, c/ manteiga, c/ sal",True,426.0,252.0,1.5,True,170,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Ervilha, em vagem, fresca, cozida, drenada, s/ óleo, c/ sal",identity,"Ervilha, em vagem, fresca, cozida, drenada, s/ óleo, c/ sal",BRC0076T,"Ervilha, em vagem, fresca, cozida, drenada, s/ óleo, c/ sal",True,50.0,83.0,2.6,True,9,vegetarian,1,1,none,identity_match
"Ervilha, enlatada, drenada",non_identity_unreviewed,"Ervilha, enlatada, drenada, Brasil",BRC0023T,"Ervilha, enlatada, drenada, Brasil",True,173.0,226.0,0.5,True,4,vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Ervilha, grão, seca, partida, cozida, drenada, s/ óleo, c/ sal",identity,"Ervilha, grão, seca, partida, cozida, drenada, s/ óleo, c/ sal",BRC0074T,"Ervilha, grão, seca, partida, cozida, drenada, s/ óleo, c/ sal",True,38.0,32.0,1.0,True,86,regular|vegan|vegetarian,1,1,none,identity_match
"Espinafre, folha, cozida, drenado, s/ óleo, c/ sal",non_identity_unreviewed,"Espinafre, folha, cozida, drenado, s/ óleo, c/ sal, Brasil",BRC0146B,"Espinafre, folha, cozida, drenado, s/ óleo, c/ sal, Brasil",True,36.0,93.0,0.2,True,1,vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Espinafre, folha, cru",non_identity_unreviewed,"Espinafre, folha, cru, Brasil",BRC0072B,"Espinafre, folha, cru, Brasil",True,23.0,93.0,0.2,True,11,vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Espinafre, folha, refogada (c/ óleo, cebola e alho), c/ sal",identity,"Espinafre, folha, refogada (c/ óleo, cebola e alho), c/ sal",BRC0147B,"Espinafre, folha, refogada (c/ óleo, cebola e alho), c/ sal",True,38.0,99.0,0.2,True,91,regular|vegan|vegetarian,1,1,none,identity_match
"Fava, grão, seco, cozida, drenada, s/ óleo, c/ sal",identity,"Fava, grão, seco, cozida, drenada, s/ óleo, c/ sal",BRC0085T,"Fava, grão, seco, cozida, drenada, s/ óleo, c/ sal",True,57.0,212.0,0.2,True,15,vegan,1,1,none,identity_match
Feijoada vegetariana,non_identity_recorded_decision,"Feijoada vegetariana, c/ sal, Brasil",BRC0172T,"Feijoada vegetariana, c/ sal, Brasil",True,166.0,119.0,0.4,True,32,vegan,1,1,mapping_classification_not_preserved,exact POF source row 8581905#99 (C0172T) aligned to current TBCA BRC0172T; official TBCA preparation composition reviewed
"Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal",non_identity_unreviewed,"Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, s/ sal, Brasil",BRC0090T,"Feijão, carioca, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, s/ sal, Brasil",True,40.0,131.0,0.3,True,276,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal",identity,"Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal",BRC0100T,"Feijão, fradinho, cozido (50% grão e 50% caldo), c/ óleo, cebola e alho, c/ sal",True,40.0,131.0,0.2,True,119,regular|vegan|vegetarian,1,1,none,identity_match
"Feijão, guandu, grão, seco, cozido (50% grão e 50% caldo), s/ óleo, cebola e alho, c/ sal",identity,"Feijão, guandu, grão, seco, cozido (50% grão e 50% caldo), s/ óleo, cebola e alho, c/ sal",BRC0082T,"Feijão, guandu, grão, seco, cozido (50% grão e 50% caldo), s/ óleo, cebola e alho, c/ sal",True,57.0,146.0,0.2,True,77,regular|vegan|vegetarian,1,1,none,identity_match
"Feijão, preto, cozido (50% grão e 50% caldo), c/ carne de boi, músculo, s/ gordura, c/ óleo, cebola e alho, c/ sal",identity,"Feijão, preto, cozido (50% grão e 50% caldo), c/ carne de boi, músculo, s/ gordura, c/ óleo, cebola e alho, c/ sal",BRC0194T,"Feijão, preto, cozido (50% grão e 50% caldo), c/ carne de boi, músculo, s/ gordura, c/ óleo, cebola e alho, c/ sal",True,1245.0,886.0,5.1,True,18,regular|vegan,1,1,none,identity_match
"Geleia, s/ açúcar (média de diferentes sabores)",non_identity_unreviewed,"Geleia, s/ açúcar, Brasil (média de diferentes sabores)",BRC0058N,"Geleia, s/ açúcar, Brasil (média de diferentes sabores)",True,295.0,147.0,0.6,True,24,vegan|vegetarian,1,4,many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Goiaba, inteira, in natura",non_identity_unreviewed,"Goiaba, branca, inteira, c/ casca,in natura, Brasil",BRC0015C,"Goiaba, branca, inteira, c/ casca,in natura, Brasil",True,10.0,106.0,0.6,True,66,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Grão de bico, cozido, dreando, s/ óleo, c/ sal",identity,"Grão de bico, cozido, dreando, s/ óleo, c/ sal",BRC0106T,"Grão de bico, cozido, dreando, s/ óleo, c/ sal",True,95.0,146.0,0.2,True,133,regular|vegan|vegetarian,1,1,none,identity_match
"Inhame, s/ casca, cozido, drenado, s/ óleo, c/ sal",identity,"Inhame, s/ casca, cozido, drenado, s/ óleo, c/ sal",BRC0343B,"Inhame, s/ casca, cozido, drenado, s/ óleo, c/ sal",True,32.0,80.0,0.9,True,23,regular|vegan,1,1,none,identity_match
"Inhame, s/ casca, refogado (c/ óleo, cebola e alho), c/ sal",identity,"Inhame, s/ casca, refogado (c/ óleo, cebola e alho), c/ sal",BRC0349B,"Inhame, s/ casca, refogado (c/ óleo, cebola e alho), c/ sal",True,31.0,87.0,0.9,True,20,vegan,1,1,none,identity_match
"Iogurte, frutas, diet",non_identity_unreviewed,"Torta de frutas, light",BRC0079N,"Torta de frutas, light",True,343.0,150.0,1.3,True,30,regular|vegetarian,1,3,many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Iogurte, integral (média de diferentes sabores)",non_identity_unreviewed,"Iogurte, integral (média de diferentes sabores), Brasil",BRC0011G,"Iogurte, integral (média de diferentes sabores), Brasil",True,343.0,150.0,1.3,True,39,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Iogurte, natural",non_identity_unreviewed,"Iogurte, natural, Brasil",BRC0021G,"Iogurte, natural, Brasil",True,161.0,150.0,1.3,True,97,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Iogurte, natural, desnatado",non_identity_unreviewed,"Iogurte, natural, desnatado, Brasil",BRC0023G,"Iogurte, natural, desnatado, Brasil",True,161.0,150.0,1.3,True,249,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Kiwi, in natura",non_identity_unreviewed,"Pitaia,in natura",BRC0225C,"Pitaia,in natura",True,150.0,136.0,0.3,True,30,regular|vegan|vegetarian,5,10,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Laranja, in natura",non_identity_unreviewed,"Laranja, Baía,in natura, Brasil",BRC0018C,"Laranja, Baía,in natura, Brasil",True,40.0,62.0,0.8,True,23,regular|vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Lasanha, queijos, c/ molho branco, c/ sal, caseira",identity,"Lasanha, queijos, c/ molho branco, c/ sal, caseira",BRC0894A,"Lasanha, queijos, c/ molho branco, c/ sal, caseira",True,391.0,283.0,1.9,True,1,vegetarian,1,1,none,identity_match
"Lasanha, vegetais, caseira",identity,"Lasanha, vegetais, caseira",BRC0560A,"Lasanha, vegetais, caseira",True,147.0,70.0,0.5,True,17,vegetarian,1,1,none,identity_match
"Leite, vaca, c/ chocolate",non_identity_unreviewed,"Leite, vaca, c/ chocolate, em pó, Brasil",BRC0035G,"Leite, vaca, c/ chocolate, em pó, Brasil",True,79.0,1154.0,5.8,True,7,vegan|vegetarian,1,2,many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Leite, vaca, desnatado, em pó",non_identity_unreviewed,"Leite, vaca, desnatado, em pó, Brasil",BRC0038G,"Leite, vaca, desnatado, em pó, Brasil",True,1100.0,560.0,2.7,True,1,regular,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Leite, vaca, desnatado, fluído (média de diferentes amostras)",non_identity_unreviewed,"Leite, vaca, desnatado, fluído (média de diferentes amostras), Brasil",BRC0036G,"Leite, vaca, desnatado, fluído (média de diferentes amostras), Brasil",True,111.0,120.0,1.7,True,215,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Leite, vaca, integral, em pó",non_identity_unreviewed,"Leite, vaca, integral, em pó, Brasil",BRC0041G,"Leite, vaca, integral, em pó, Brasil",True,127.0,135.0,0.8,True,4,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Leite, vaca, integral, fluído",non_identity_unreviewed,"Leite, cabra, integral, fluído, Brasil",BRC0028G,"Leite, cabra, integral, fluído, Brasil",True,127.0,135.0,0.8,True,93,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Leite, vaca, semidesnatado, UHT",non_identity_unreviewed,"Leite, vaca, semidesnatado, UHT, Brasil",BRC0046G,"Leite, vaca, semidesnatado, UHT, Brasil",True,141.0,124.0,1.7,True,31,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Lentilha, cozida, drenada, c/ óleo, cebola e alho, c/ sal",identity,"Lentilha, cozida, drenada, c/ óleo, cebola e alho, c/ sal",BRC0078T,"Lentilha, cozida, drenada, c/ óleo, cebola e alho, c/ sal",True,94.0,149.0,0.2,True,196,regular|vegan|vegetarian,1,1,none,identity_match
"Linhaça, semente",non_identity_unreviewed,"Linhaça, semente, Brasil",BRC0006U,"Linhaça, semente, Brasil",True,63.0,379.0,0.6,True,101,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Macarrão, trigo, c/ ovos, c/ alho e óleo, c/ sal",identity,"Macarrão, trigo, c/ ovos, c/ alho e óleo, c/ sal",BRC0214A,"Macarrão, trigo, c/ ovos, c/ alho e óleo, c/ sal",True,92.0,105.0,0.6,True,18,regular|vegetarian,1,1,none,identity_match
"Macarrão, trigo, c/ ovos, c/ molho branco (leite, manteiga e farinha de trigo), c/ sal",identity,"Macarrão, trigo, c/ ovos, c/ molho branco (leite, manteiga e farinha de trigo), c/ sal",BRC0220A,"Macarrão, trigo, c/ ovos, c/ molho branco (leite, manteiga e farinha de trigo), c/ sal",True,108.0,97.0,0.7,True,9,vegetarian,1,1,none,identity_match
"Macarrão, trigo, c/ vegetais, c/ sal",non_identity_unreviewed,"Macarrão, trigo, c/ vegetais,  s/ sal",BRC0597A,"Macarrão, trigo, c/ vegetais,  s/ sal",True,137.0,79.0,0.4,True,25,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Macarrão, trigo, cozido, drenado, s/ óleo, c/ sal",non_identity_unreviewed,"Macarrão, trigo, integral, cozido, drenado, s/ óleo, c/ sal",BRC0835A,"Macarrão, trigo, integral, cozido, drenado, s/ óleo, c/ sal",True,72.0,75.0,0.5,True,103,regular|vegan|vegetarian,2,2,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Macarrão, trigo, integral, cozido, drenado, s/ óleo, c/ sal",identity,"Macarrão, trigo, integral, cozido, drenado, s/ óleo, c/ sal",BRC0835A,"Macarrão, trigo, integral, cozido, drenado, s/ óleo, c/ sal",True,72.0,75.0,0.5,True,151,regular|vegan|vegetarian,2,2,many_used_names_to_one_target|many_map_names_to_one_target,identity_match
"Mamão, Papaia, polpa, in natura",non_identity_unreviewed,"Mamão, Papaia, polpa,in natura, Brasil",BRC0044C,"Mamão, Papaia, polpa,in natura, Brasil",True,100.0,34.0,0.7,True,176,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Mamão, polpa, in natura",non_identity_unreviewed,"Melão, polpa,in natura, Brasil",BRC0028C,"Melão, polpa,in natura, Brasil",True,100.0,34.0,0.7,True,16,vegan|vegetarian,2,2,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Mandioca (aipim, macaxeira), s/ casca, cozida, drenada, s/ óleo, c/ sal",identity,"Mandioca (aipim, macaxeira), s/ casca, cozida, drenada, s/ óleo, c/ sal",BRC0908B,"Mandioca (aipim, macaxeira), s/ casca, cozida, drenada, s/ óleo, c/ sal",True,11.0,61.0,0.7,True,95,regular|vegan|vegetarian,1,1,none,identity_match
"Mandioca, farinha, crua",non_identity_unreviewed,"Mandioca, farinha, crua, Brasil",BRC0087B,"Mandioca, farinha, crua, Brasil",True,59.0,165.0,0.9,True,2,regular,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Mandioca, farofa, temperada, c/ sal",non_identity_unreviewed,"Mandioca, farofa, temperada, c/ sal, Brasil",BRC0089B,"Mandioca, farofa, temperada, c/ sal, Brasil",True,59.0,185.0,0.9,True,9,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Mandioca, s/ casca, cozida, assada, s/ óleo, c/ sal",non_identity_unreviewed,"Mandioca (aipim, macaxeira), s/ casca, cozida, assada, s/ óleo, c/ sal",BRC0361B,"Mandioca (aipim, macaxeira), s/ casca, cozida, assada, s/ óleo, c/ sal",True,36.0,80.0,1.0,True,10,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Manga, polpa, in natura",non_identity_unreviewed,"Melancia, polpa,in natura, Brasil",BRC0027C,"Melancia, polpa,in natura, Brasil",True,15.0,155.0,0.8,True,6,vegan|vegetarian,2,2,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Manteiga, c/ sal",non_identity_unreviewed,"Manteiga, c/ sal, Brasil",BRC0007D,"Manteiga, c/ sal, Brasil",True,910.0,422.0,11.5,True,28,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Margarina, c/ óleo interesterificado (65% lipídeos), s/ sal",non_identity_unreviewed,"Margarina, c/ óleo interesterificado (65% lipídeos), s/ sal, Brasil",BRC0013D,"Margarina, c/ óleo interesterificado (65% lipídeos), s/ sal, Brasil",True,157.0,132.0,6.6,True,20,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Maçã, c/ casca, in natura",non_identity_unreviewed,"Maçã, Fuji, c/ casca,in natura, Brasil",BRC0064C,"Maçã, Fuji, c/ casca,in natura, Brasil",True,27.0,20.0,0.1,True,194,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Melado, cana",non_identity_unreviewed,"Melado, cana, Brasil",BRC0029K,"Melado, cana, Brasil",True,77.0,34.0,0.4,True,3,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Melancia, polpa, in natura",non_identity_unreviewed,"Melancia, polpa,in natura, Brasil",BRC0027C,"Melancia, polpa,in natura, Brasil",True,121.0,38.0,0.8,True,28,regular|vegan|vegetarian,2,2,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Melão, polpa, in natura",non_identity_unreviewed,"Melão, polpa,in natura, Brasil",BRC0028C,"Melão, polpa,in natura, Brasil",True,101.0,27.0,0.7,True,125,regular|vegan|vegetarian,2,2,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Milho, polenta/fubá, cozido, c/ sal",identity,"Milho, polenta/fubá, cozido, c/ sal",BRC0143A,"Milho, polenta/fubá, cozido, c/ sal",True,45.0,92.0,0.4,True,10,vegan|vegetarian,1,1,none,identity_match
"Milho, verde, grão, cozido, drenado, c/ sal",non_identity_unreviewed,"Milho, verde, grão, cozido, drenado, c/ sal, Brasil",BRC0177A,"Milho, verde, grão, cozido, drenado, c/ sal, Brasil",True,68.0,125.0,0.3,True,7,vegan,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Mingau, de amido de milho (maisena)",non_identity_unreviewed,"Mingau, de amido de milho (maisena), c/ banana",BRC0055G,"Mingau, de amido de milho (maisena), c/ banana",True,126.0,133.0,0.8,True,14,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Mingau, farinha de cereais, c/ leite integral",identity,"Mingau, farinha de cereais, c/ leite integral",BRC0125G,"Mingau, farinha de cereais, c/ leite integral",True,174.0,146.0,0.9,True,1,vegetarian,1,1,none,identity_match
"Morango, in natura",non_identity_unreviewed,"Amora preta,in natura, Brasil",BRC0170C,"Amora preta,in natura, Brasil",True,64.0,59.0,0.2,True,47,regular|vegan|vegetarian,1,2,many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Mostarda, folha, refogada (c/ óleo, cebola e alho), c/ sal",identity,"Mostarda, folha, refogada (c/ óleo, cebola e alho), c/ sal",BRC0256B,"Mostarda, folha, refogada (c/ óleo, cebola e alho), c/ sal",True,41.0,96.0,0.2,True,1,vegetarian,1,1,none,identity_match
"Nabo, c/ casca, cru",non_identity_unreviewed,"Nabo, c/ casca, cru, Brasil",BRC0077B,"Nabo, c/ casca, cru, Brasil",True,29.0,93.0,0.1,True,1,regular,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Nhoque (batata, ovo, farinha de trigo), cozido, s/ molho, c/ sal",non_identity_unreviewed,"Nhoque (batata, ovo, margarina e farinha de trigo), cozido, s/ molho, c/ sal",BRC0920B,"Nhoque (batata, ovo, margarina e farinha de trigo), cozido, s/ molho, c/ sal",True,157.0,172.0,1.0,True,21,vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Noz, crua",non_identity_unreviewed,"Noz, crua, Brasil",BRC0009U,"Noz, crua, Brasil",True,288.0,1912.0,3.4,True,101,regular|vegan|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Omelete, c/ ovo de galinha, c/ queijo muçarela, c/ sal",identity,"Omelete, c/ ovo de galinha, c/ queijo muçarela, c/ sal",BRC0031J,"Omelete, c/ ovo de galinha, c/ queijo muçarela, c/ sal",True,474.0,426.0,2.7,True,21,regular|vegetarian,1,1,none,identity_match
"Omelete, frios, c/ sal",identity,"Omelete, frios, c/ sal",BRC0036J,"Omelete, frios, c/ sal",True,559.0,482.0,2.6,True,11,regular|vegetarian,1,1,none,identity_match
"Omelete, vegetais, c/ sal",identity,"Omelete, vegetais, c/ sal",BRC0037J,"Omelete, vegetais, c/ sal",True,323.0,242.0,1.7,True,86,regular|vegetarian,1,1,none,identity_match
"Ovo, galinha, inteiro, cozido, c/ sal",identity,"Ovo, galinha, inteiro, cozido, c/ sal",BRC0023J,"Ovo, galinha, inteiro, cozido, c/ sal",True,380.0,338.0,2.3,True,154,regular|vegetarian,1,1,none,identity_match
"Ovo, galinha, inteiro, frito (c/ óleo de soja), c/ sal",identity,"Ovo, galinha, inteiro, frito (c/ óleo de soja), c/ sal",BRC0028J,"Ovo, galinha, inteiro, frito (c/ óleo de soja), c/ sal",True,360.0,345.0,2.4,True,27,regular|vegetarian,1,1,none,identity_match
"Ovo, galinha, mexido, c/ margarina, c/ sal",non_identity_unreviewed,"Ovo, galinha, mexido, c/ margarina, c/ sal, Brasil",BRC0027J,"Ovo, galinha, mexido, c/ margarina, c/ sal, Brasil",True,364.0,329.0,2.5,True,120,regular|vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Palmito, conversa, drenado (média de variedades - Pupunha e Juçara)",non_identity_unreviewed,"Palmito, conversa, drenado (média de variedades - Pupunha e Juçara), Brasil",BRC0078B,"Palmito, conversa, drenado (média de variedades - Pupunha e Juçara), Brasil",True,111.0,769.0,0.6,True,1,vegetarian,1,1,mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
"Peixe, água doce, filé, ensopado (c/ cebola, tomate e pimentão), c/ óleo, c/ sal (média de 7 espécies)",identity,"Peixe, água doce, filé, ensopado (c/ cebola, tomate e pimentão), c/ óleo, c/ sal (média de 7 espécies)",BRC0113E,"Peixe, água doce, filé, ensopado (c/ cebola, tomate e pimentão), c/ óleo, c/ sal (média de 7 espécies)",True,711.0,22.0,24.2,True,1,regular,1,1,none,identity_match
"Peixe, água doce, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies)",identity,"Peixe, água doce, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies)",BRC0104E,"Peixe, água doce, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies)",True,615.0,0.0,22.7,True,17,regular,2,2,many_used_names_to_one_target|many_map_names_to_one_target,identity_match
"Peixe, água doce, filé, grelhado/assado, s/ óleo, s/ sal (média de 7 espécies)",non_identity_unreviewed,"Peixe, água doce, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies)",BRC0104E,"Peixe, água doce, filé, grelhado/assado, s/ óleo, c/ sal (média de 7 espécies)",True,615.0,0.0,22.7,True,9,regular,2,2,many_used_names_to_one_target|many_map_names_to_one_target|mapping_classification_not_preserved,preserved_map_only; original selection rationale unavailable
